arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
;;N/A:  | N/A: ;Octube;cap.;;De Caibarién vapor Alava, capitán Octube, con 500³ tabaco y efectos.;;Alava;vapor;1903_01_06;Caibarién
;;N/A:  | N/A: ;González;cap.;;De Caibarién vapor Avilés, capitán González, con 362³ tabaco y efectos.;;Avilés;vapor;1903_01_06;Caibarién
;;N/A:  | N/A: ;Planell;cap.;;De Mantua vapor Rita, capitán Planell, con 990³ tabaco y efectos.;;Rita;vapor;1903_01_06;Mantua
;;N/A: ;Durán;patrón;;De Sagua goleta María Andrea, patrón Durán, con 1.300 sacos carbón.;;María Andrea;goleta;1903_01_06;Sagua
;;N/A:  | N/A:  | N/A: ;Mary;patrón;;De Dímas goleta Carmita, patrón Mary, con leña, carbón y madera.;;Carmita;goleta;1903_01_06;Dímas
;;N/A: ;Sánchez;patrón;;De Arroyos goleta Joven Jaime, patrón Sánchez, con 800 sacos carbón.;;Joven Jaime;goleta;1903_01_06;Arroyos
;;N/A: ;Yem;patrón;;De Sagua goleta Dos Amigos, patrón Yem, con 800 sacos carbón.;;Dos Amigos;goleta;1903_01_06;Sagua
;;N/A: ;Gil;patrón;;De Banes goleta Josefa, patrón Gil.—En las tres.;;Josefa;goleta;1903_01_06;Banes
;;N/A: ;Bosch;patrón;;De Caabañas goleta Victoria, patrón Bosch, con 300 pacas heno.;;Victoria;goleta;1903_01_06;Caabañas
;;N/A: ;Alemañy;patrón;;De San Cayetano goleta Féliz, patrón Alemañy, con 350 polines.;;Féliz;goleta;1903_01_06;San Cayetano
;;N/A:  | N/A: ;Fleixas;patrón;;De Cárdenas goleta María del Carmen, patrón Fleixas, con 80 pipas aguardiente y efectos.;;María del Carmen;goleta;1903_01_06;Cárdenas
;;N/A:  | N/A: ;Ferrer;patrón;;De Manzanillo goleta 2 gertrudis, patrón Ferrer, con 1584 paquetes tablillas y efectos.;;gertrudis;goleta;1903_01_06;Manzanillo
;;N/A:  | N/A: ;Masot;patrón;;De Cárdenas goleta Julia, patrón Masot, con 20 barriles y 200 sacos azúcar y efectos.;;Julia;goleta;1903_01_06;Cárdenas
;;N/A: ;Juan;pat.;;Margaritas, gol. 2: Rosa, pat. Juan, 1000 sacos;;2: Rosa;gol.;1903_01_10;Margaritas
;;N/A: ;Fleixas;pat.;;Cárdenas, gol. Rosita, pat. Fleixas, 90 pipas;;Rosita;gol.;1903_01_10;Cárdenas
;;N/A: ;Pujol;pat.;;Cárdenas, gol. Mercedita, pat. Pujol, 78 pipas;;Mercedita;gol.;1903_01_10;Cárdenas
;;N/A: ;Piera;pat.;;Nuevitas, gol. Tímina, pat. Piera, 7213 miel abe-;;Tímina;gol.;1903_01_10;Nuevitas
;;;Fleixas;pat.;;Cárdenas, gol. María del Carmen, pat. Fleixas,;;María del Carmen;gol.;1903_01_13;Cárdenas
;;N/A: ;Masot;pat.;;Cárdenas, gol. Crisalida, pat. Masot, 35 pipas;;Crisalida;gol.;1903_01_13;Cárdenas
;;N/A: ;Juan;pat.;;Cabañas, bdro Rosita, pat. Juan, con hierro;;Rosita;bdro;1903_01_23;
;;N/A: ;Pujol;pat.;;Baracoa, gol. Colón, pat. Pujol. 100 s. açúcar y;;Colón;gol.;1903_01_23;Baracoa
;;N/A: ;Bosch;pat.;;Cabañas, gol. Victoria, pat. Bosch, 600 pacas;;Victoria;gol.;1903_01_23;Cabañas
;;N/A: ;Mir;pat.;;Cárdenas, gol. Rosita, pat. Mir, 150 pp. aguar-;;Rosita;gol.;1903_01_23;Cárdenas
;;;Moner;pat.;;San Cayetano, gol. Buenaventura, pat. Moner,;;Buenaventura;gol.;1903_01_23;San Cayetano
;;N/A: ;Rubíños;pat.;;Sagua, gol. Rosita, pat. Rubíños, 800 sacos car-;;Rosita;gol.;1903_01_23;Sagua
;;N/A: ;Rubífos;pat.;;Sagua, gol. Amalia, pat. Rubífos, 800 sacos carbón.;;Amalia;gol.;1903_01_27;Sagua
;;N/A: ;Roman;pat.;;Arroyos, gol. Lince, pat. Roman, 248, sacos id.;;Lince;gol.;1903_01_27;Arroyos
;;;Gil;pat.;;Banes, gol. Joseta, pat. Gil, con efectos.;;Joseta;gol.;1903_01_27;Banes
;;N/A: ;Ferrer;pat.;;Rio de la Palma, gol. Joven Herminia, pat. Ferrer, 128 caballos carbón.;;Joven Herminia;gol.;1903_01_27;Rio de la Palma
;;N/A:  | N/A: ;Amengual;pat.;;Bahía Honda, gol. Natividad, pat. Amengual, 50 toneladas hierro y efectos.;;Natividad;gol.;1903_01_27;Bahía Honda
;;N/A: ;Alemañy;pat.;;San Cayetano, gol. Trinidad, pat. Alemañy, con maderas.;;Trinidad;gol.;1903_01_27;San Cayetano
;;N/A:  | N/A: ;Alemañy;pat.;;Idem, gol. Feliz, pat. Alemañy, con 350 polines Dominica, gol. María Magdalena, pat. Villalon- ga, 450 sacos azúcar.;;Feliz;gol.;1903_01_27;Dominica
;;N/A: ;Villalonga;pat.;;Idem, gol. Joven Gertrúdis, pat. Villalonga 500 sacos azúcar.;;Joven Gertrúdis;gol.;1903_01_27;
;;N/A:  | N/A: ;Mas;pat.;;Cárdenas, gol. Crisálida, pat. Mas, 30 pipas aguardiente y efectos.;;Crisálida;gol.;1903_01_27;Cárdenas
;;N/A: ;Pujol;pat.;;Idem, gol. Juana Mercedes, pat. Pujol, 90 pipas aguardiente.;;Juana Mercedes;gol.;1903_01_27;
;;N/A: ;Carregado;pat.;;Matanzas, gol. 2 Hermanas, pat. Carregado, 85 pipas aguardiente.;;2 Hermanas;gol.;1903_01_27;Matanzas
;;N/A: ;Macip;pat.;;Santa Cruz, gol. Joven Manuel, pat. Macip, 70;;Joven Manuel;gol.;1903_01_31;Santa Cruz
;;N/A: ;Mas;pat.;;Casilda, gol. Unión, pat. Mas, 120 toneladas;;Unión;gol.;1903_01_31;Casilda
;;N/A: ;Font;pat.;;Caibarién, gol. María Luisa, pat. Font, 1100/3;;María Luisa;gol.;1903_01_31;Caibarién
;;;Gil;pat.;;Banes, gol. Josefa, pat. Gil, en lastre.;;Josefa;gol.;1903_01_31;Banes
;;N/A: ;Planell;pat.;;Arroyos, gol. Rita, pat. Planell, 250|3 tabaoo.;;Rita;gol.;1903_02_07;Arroyos
;;N/A:  | N/A: ;Marí;pat.;;Dimar, gol. Carmita, pat. Marí, 600 sacos carbón y leña.;;Carmita;gol.;1903_02_07;Dimar
;;N/A:  | N/A: ;Carregado;pat.;;Matanzas, gol. Marfa, pat. Carregado, 170|4 miel y efectos.;;Marfa;gol.;1903_02_07;Matanzas
;;N/A:  | N/A: ;Ensefat;pat.;;Nuevitas, gol. San Fernando, pat. Ensefat, 66 tercerolas miel de abejas y 65 sacos cera,;;San Fernando;gol.;1903_02_07;Nuevitas
;;N/A:  | N/A: ;Font;;;De Caibarién M: Luisa, pt. Font, tabaco y efe-;;Luisa;pt.;1903_02_10;Caibarién
;;;Marcelino;;;De San Cayerano Joven Marcelino, pt. Gonzá-;;Gonzá-;pt.;1903_02_10;San Cayerano
;;N/A: ;;;;De Cárdenas M: del Carmen, pt. Piera, 80 pipas;;Piera;pt.;1903_02_10;Cárdenas
