arrival_date;arrival_date_calc;cargo_list;crew_number;forced_arrival;master_name;master_role;parsed_text;passenger_account;publication_day;quarantine;raw_text;ship_flag;ship_name;ship_tons_capacity;ship_tons_unit;ship_type;source_file;travel_departure_port;travel_duration_unit;travel_duration_value
Día 02:;;N/A: ;;;Aguiar;pat.;;;;;2ta 2: De Santa María, gol. Júcaro, pat. Aguiar: con 900;;Júcaro;;;gol.;1891_01_03;Santa María;;
;;N/A: ;;;Moll;pat.;;;;;-Mantua, gol. Lince, pat. Moll: con 600 sacos carbón.;;Lince;;;gol.;1891_01_03;Mantua;;
;;N/A: ;;;Enseñat;pat.;;;;;-Morrillo, gol. Agustina pat. Enseñat: con 400;;Agustina;;;gol.;1891_01_03;Morrillo;;
;;N/A: ;;;Pujol;pat.;;;;;-Mantua, gol. Nuevo Hilario, pat Pujol: con 600;;Nuevo Hilario;;;gol.;1891_01_03;Mantua;;
;;N/A:  | N/A: ;;;Cueva;pat.;;;;;-Cárdenas, gol. Angelita, pat. Cueva: con 600 sacos azúcar y efectos.;;Angelita;;;gol.;1891_01_03;Cárdenas;;
;;N/A: ;;;Alemañy;pat.;;;;;-Yaguajay, gol. Natividad, pat. Alemañy: con 80;;Natividad;;;gol.;1891_01_03;Yaguajay;;
;;N/A: ;;;Hernández;pat.;;;;;-Morrillo, gol. Britania, pat. Hernández: con 400;;Britania;;;gol.;1891_01_03;Morrillo;;
;;N/A: ;;;Espino;pat.;;;;;-Morrillo, gol. Feliz, pat. Espino: con 300 sacos;;Feliz;;;gol.;1891_01_03;Morrillo;;
;;;;;Rodríguez;pat.;;;;;-Congojas, gol. Joven Victoria, pat. Rodríguez:;;Joven Victoria;;;gol.;1891_01_03;Congojas;;
Día 3:;;N/A: ;;;Lladó;pat.;;;;;Dia 3: De Bajas, gol. Carmita, pat. Lladó: con 800 sacos;;Carmita;;;gol.;1891_01_04;Bajas;;
;;;;;Amengual;pat.;;;;;-Dimas. gol. María Mazoni, pat. Amengual: cen;;María Mazoni;;;gol.;1891_01_04;;;
;;N/A: ;;;Beneján;pat.;;;;;-Mantua, gol. Margarita, pat. Beneján: con 500;;Margarita;;;gol.;1891_01_04;Mantua;;
;;N/A:  | N/A: ;;;Barceló;pat;;;;;"-San Cayetano, gol. Salve Virgen María, pat Barceló: con 400 tendidos soga de majagua; 3,000 pies";;Salve Virgen María;;;gol.;1891_01_04;San Cayetano;;
Día 5:;;N/A: ;;;Torres;pat.;;;;;Día 5: De Cárdenas, gol. Yumuri, pat. Torres: con 50 pipas;;Yumuri;;;gol.;1891_01_06;Cárdenas;;
;;;;;Cardeluz;cap.;;;;;-Sagua, vapor Adela, cap. Cardeluz: con efectos.;;Adela;;;vapor;1891_01_08;Sagua;;
;;N/A: ;;;Pérez;pat.;;;;;-Matanzas, gol. Amalia, pat. Pérez: con 69,000;;Amalia;;;gol.;1891_01_08;Matanzas;;
;;;;;Llorca;pat.;;;;;-Panta San Juan, gol. Catalina, pat. Llorca: con;;Catalina;;;gol.;1891_01_08;San Juan;;
Día 10:;;N/A: ;;;Bilbao;cap.;;;;;Dia 10: ex pa De Sagua, vapor Clara, cap. Bilbao: con 460 sacos;;Clara;;;vapor;1891_01_11;Sagua;;
;;N/A: ;;;Ferrer;pat.;;;;;-Cárdenas, gol. Isla de Cuba, pat. Ferrer: con 9;;Isla de Cuba;;;gol.;1891_01_11;Cárdenas;;
;;;;;Pereira;pat.;;;;;Carahatas, gol. Teresita, pat. Pereira: en lastre.;;Teresita;;;gol.;1891_01_11;Carahatas;;
;;;;;Cabruja;pat.;;;;;-Segua la Chica, gol. 2ª Rosa, pat. Cabruja: con;;2ª Rosa;;;gol.;1891_01_11;;;
;;;;;Macip;pat.;;;;;Santa Cruz, gol. Joven Mannel, pat. Macip: con;;Joven Mannel;;;gol.;1891_01_11;Santa Cruz;;
;;;;;Mayor;pat.;;;;;-Santa ruz, gol. Desempeño, pat. Mayor: con;;Desempeño;;;gol.;1891_01_11;Santa ruz;;
;;;;;Enseñat;pat.;;;;;-Cárdenas, gol. Juan Toralla, pat. Enseñat: con;;Juan Toralla;;;gol.;1891_01_11;Cárdenas;;
;;N/A: ;;;Padrón;pat.;;;;;-Arroyos, gol Joven Jaime, pat. Padrón: con 1000;;Joven Jaime;;;gol;1891_01_11;Arroyos;;
Día 12:;;N/A: ;;;Rigó;pat.;;;;;Día 12: De Morrillo, gol. Condor, pat Rigó: con 400 sacos;;Condor;;;gol.;1891_01_13;Morrillo;;
;;N/A: ;;;Mas;pat.;;;;;"-Baracoa, gol Anita, pat. Mas: con 70,000 cocos;";;Anita;;;gol.;1891_01_13;Baracoa;;
;;N/A: ;;;Lloret;pat.;;;;;-Bajas, gol. Angelita, pat. Lloret: con 300 sacos;;Angelita;;;gol.;1891_01_13;Bajas;;
;;;;;Portela;pat.;;;;;Arroyos, gol. Amable Rosita, pat. Portela:  con;;Amable Rosita;;;gol.;1891_01_13;Arroyos;;
;;N/A: ;;;Ruiz;pat.;;;;;Arroyos, gel Dos Hermanas, pat. Ruiz: con 700;;Arroyos;;;gel;1891_01_13;Dos Hermanas;;
;;N/A: ;;;Cabaleiro;pat.;;;;;-Sagua, gol. Rosita, pat. Cabaleiro: con 500 sacos;;Rosita;;;gol.;1891_01_13;Sagua;;
;;N/A: ;;;Espiño;pat.;;;;;-Morrillo, gol. Feliz, pat. Espiño. een 300 acos;;Feliz;;;gol.;1891_01_13;Morrillo;;
;;N/A: ;;;Maciá;pat.;;;;;Bajas, gol Gallego, pat. Maciá: con 800 sacos;;Gallego;;;gol;1891_01_13;Bajas;;
;;N/A: ;;;Planas;pat.;;;;;-Mulata, gol. Dolores, pat. Planas: con 200 varas;;Dolores;;;gol.;1891_01_13;;;
;;N/A: ;;;Ferrer;pat.;;;;;-Dimas, gol. Deseada, pat. Ferrer: con 400 sacos;;Deseada;;;gol.;1891_01_13;Dimas;;
;;N/A: ;;;Gavancho;pat.;;;;;-Cárdenas, gol. Cárdenas, pat. Gavancho: con 75;;Cárdenas;;;gol.;1891_01_14;Cárdenas;;
;;;;;Alemany;pat.;;;;;San Cayetano, gol. Catalina, pat. Alemany: con;;Catalina;;;gol.;1891_01_14;San Cayetano;;
Día 01:;;;;;Pujol;pat.;;;;;-Santa María, gol. María del Carmen, pat. Pujol:;;María del Carmen;;;gol.;1891_01_14;;;
;;N/A: ;;;Bujosa;pat.;;;;;-Morón, gol. Engracia, pat. Bujosa: con 800 voras;;Engracia;;;gol.;1891_01_15;Morón;;
Día 15:;;N/A: ;;;;cap.;;;;;Día 15: ei solidal De Sagua, vapor Adela, cap. Bilbao: con 140 tercios;bilbao;Adela;;;vapor;1891_01_16;Sagua;;
Día 16:;;N/A: ;;;Real;cap.;;;;;Día 16: De Malas-Aguas vapor Tritón, cap. Real: con 1,000;;Tritón;;;vapor;1891_01_17;Malas-Aguas;;
;;N/A: ;;;Sastre;pat.;;;;;-Mariel, gol. Altagracia, pat. Sastre: con 550 sacos;;Altagracia;;;gol.;1891_01_17;;;
;;;;;Cantero;pat.;;;;;-Cárdenas, gol. Aguila de Oro, pat. Cantero: con;;Aguila de Oro;;;gol.;1891_01_17;Cárdenas;;
;;N/A:  | N/A: ;;;Enseñat;pat.;;;;;"-Morrillo, gol. Agustina, pat. Enseñat; con 900 sacos azúcar y 30 cuarterolas miel.";;Agustina;;;gol.;1891_01_17;Morrillo;;
;;N/A: ;;;Pereira;pat.;;;;;-Carahatas, gol. Teresita, pat. Pereira: con 800;;Teresita;;;gol.;1891_01_17;Carahatas;;
Día 17:;;N/A: ;;;Bosch;pat.;;;;;Día 17: De Dominica, gol. Dominica, pat. Bosch: con 330;;Dominica;;;gol.;1891_01_18;Dominica;;
;;;;;Rodríguez;pat.;;;;;-Cabañas, gol. Dos Amigos, pat. Rodríguez: con;;Dos Amigos;;;gol.;1891_01_18;Cabañas;;
;;;;;Inclán;pat.;;;;;-Cabañas, gol. Caballo Marino, pat. Inclán: con;;Caballo Marino;;;gol.;1891_01_18;Cabañas;;
;;N/A: ;;;Marín;cap.;;;;;-Guanes, vapor Guaniguanico, cap. Marín: con 46;;Guaniguanico;;;vapor;1891_01_18;Guanes;;
Día 19:;;N/A: ;;;Juan;pat.;;;;;19: Da Cabañas, bdro. Rosita, pat. Juan: con 200 sacos;;Rosita;;;bdro.;1891_01_20;Cabañas;;
;;N/A: ;;;Espino;pat.;;;;;Morrillo, gol. Feliz, pat. Espino: con 500 sacos;;Feliz;;;gol.;1891_01_20;Morrillo;;
;;N/A:  | N/A: ;;;Tortell;pat.;;;;;-Cabañas, gol. Vietoria, pat. Tortell: con 720 sacos azúcar y 20 cuarterolas miel.;;Vietoria;;;gol.;1891_01_20;Cabañas;;
Día :;;;;;Bilbao;cap.;;;;;Sagua, vapor Clara, cap. Bilbao: con efectos.;;Clara;;;vapor;1891_01_20;Sagua;;
Día :;;;;;Calafell;pat.;;;;;Matanzas, gol. María Josefa, pat. Calafell: con;;María Josefa;;;gol.;1891_01_20;Matanzas;;
;;N/A: ;;;Pujol;pat.;;;;;-Mantua gol. Nuevo Hilario, pat. Pujol: con 600;;Nuevo Hilario;;;gol.;1891_01_20;Mantua;;
;;N/A: ;;;Borrell;pat.;;;;;-Segua, gol. María Josefa, pat. Borrell: con 800;;María Josefa;;;gol.;1891_01_20;Segua;;
;;;;;Suárez;pat.;;;;;-Santa Cruz, gol. San Antonio, pat. Suárez: con;;San Antonio;;;gol.;1891_01_20;Santa Cruz;;
Día 20:;;N/A: ;;;Vilar;cap.;;;;;a 20: De Nuevitas, vapor Mortera, cap. Vilar: con 2,500;;Mortera;;;vap.;1891_01_21;Nuevitas;;
;;N/A: ;;;Ferrer;pat.;;;;;Cárdenas, gol. Isla de Cuba, pat. Ferrer: con 500;;Isla de Cuba;;;gol.;1891_01_21;Cárdenas;;
;;;;;Alemany;pat.;;;;;-Cárdenas, gol. Joven Pepilla, pat. Alemany: con;;Joven Pepilla;;;gol.;1891_01_21;Cárdenas;;
;;N/A: ;;;Prats;pat.;;;;;-Dimas, gol. Dos Amigos, pat. Prats: con 800;;Dos Amigos;;;gol.;1891_01_21;Dimas;;
Día 21:;null;N/A: ;;;Sastre;pat.;;;null;;Dis 21: De Mariel, gol. Altagracia, pat Sastre: con 550 sacos;;Altagracia;;;gol.;1891_01_22;Mariel;;
;;N/A: ;;;Sigat;pat.;;;;;Cárdenas, gol. Joven Julia, pat. Sigat: con 200;;Joven Julia;;;gol.;1891_01_22;Cárdenas;;
;;N/A: ;;;Bonet;pat.;;;;;sacos azúcar - Jaruco, gol Joven Lola, pat. Bonet: con 20 sacos;;Joven Lola;;;gol;1891_01_22;Jaruco;;
;;N/A: ;;;Palau;pat.;;;;;-Sierra Morena, gol. Matilde, pat. Palau: con 800;;Matilde;;;gol.;1891_01_22;Sierra Morena;;
;;N/A: ;;;Suárez;pat.;;;;;-Cabañas. gol. Rosa María, pat. Suárez: con 400;;Rosa María;;;gol.;1891_01_22;Cabañas;;
;;N/A: ;;;Pérez;pat.;;;;;-Matanzas, gol. María, pat. Pérez: con 25 pipas;;María;;;gol.;1891_01_22;Matanzas;;
Día 22:;;N/A:  | N/A: ;;;Enseñat;pat.;;;;;Dia 22: sino M De Morrillo, gol. Agustina, pat. Enseñat: con 400 sacos azúcar y 20 cuarterolas miel.;;Agustina;;;gol.;1891_01_23;Morrillo;;
;;N/A: ;;;Pujol;pat.;;;;;-Tela, gol. Isabel II, pat. Pujol: con 600 sacos;;Isabel II;;;gol.;1891_01_23;Tela;;
;;N/A: ;;;Hernández;pat.;;;;;-Morrillo, gol. Britania, pat. Hernández: con 400;;Britania;;;gol.;1891_01_23;Morrillo;;
;;N/A: ;;;Pereira;pat.;;;;;-Carahatas, gol. Teresita, pat. Pereira: con 920;;Teresita;;;gol.;1891_01_23;Carahatas;;
;;N/A: ;;;Tortell;pat.;;;;;-Cabañas, gol. Victoria, pat. Tortell: con 600 sacos azúcar.;;Victoria;;;gol.;1891_01_23;Cabañas;;
;;;;;Juan;pat.;;;;;-Sierra Morena, gol. María Teresa, pat. Juan: con;;María Teresa;;;gol.;1891_01_23;Sierra Morena;;
Día 23:;;N/A:  | N/A:  | N/A: ;;;Esterella;pat.;;;;;"Dia 23: De Gibara, gol. Habana, pat. Esterella: con 209 tercios tabaco; 600 atravesaños; 350 caballos leña;";;Habana;;;gol.;1891_01_24;Gibara;;
;;N/A: ;;;Bosch;pat.;;;;;-Dominica, gol. Dominica, pat. Bosch: con 330;;Dominica;;;gol.;1891_01_24;Dominica;;
;;;;;Gil;pat.;;;;;-Banes, gol. Dos Isabeles, pat. Gil: en lastre.;;Dos Isabeles;;;gol.;1891_01_24;Banes;;
